id,name,category,rating,url,description
wx82ab33c36c2f45dd,0377招聘网,Mini Program,,,0377招聘网丨覆盖唐河招聘、社旗招聘、内乡招聘、镇平招聘、淅川招聘、新野招聘、方城招聘、邓州招聘、唐河找工作、社旗找工作、内乡找工作、镇平找工作、淅川找工作、新野找工作、方城找工作、邓州找工作的高效招人才平台
wxd943c59825947cbe,0379招个才丨求职招聘找工作,Mini Program,,,专注于为洛阳地区提供招聘服务的细分型平台，为您提供更加精准、贴心的求职招聘解决方案。
wxf2ddf381fd7da35b,0元地铁护航电竞,Mini Program,,,0元地铁护航电竞三角洲护航0元地铁护航电竞三角洲护航0元地铁护航电竞三角洲护航0元地铁护航电竞三角洲护航0元地铁护航电竞三角洲护航0元地铁护航电竞三角洲护航0元地铁护航电竞三角洲护航0元地铁护航电竞三角洲护航0元地铁护航电竞三角洲护航
wx0bc0c937087d206b,100以内数学题卡日日练,Mini Program,,,100以内加减法题卡训练，适合幼小衔接阶段
wx6bc378397ff99465,101校园点餐,Mini Program,,,北京101中学校园点餐小程序
wx7319641e907cbb71,114挂号 医查查就医服务,Mini Program,,,114挂号 就医服务平台，提供全国预约挂号、北京114挂号、四川114挂号、北京114预约挂号、就医陪诊、疾病查询、体检、健康知识等服务，基于AI智能交互，覆盖北京上海广州深圳重庆成都等全国城市。
wxc7822517eb025828,114挂号 号百就医服务,Mini Program,,,114挂号就医服务平台 提供北京、成都等全国多地300家医院预约挂号服务，包括华西、协和、积水潭，北大六院、北大一院、北京安定医院、301军总等重点三甲医院，四川、北京统一预约挂号平台提供预约挂号、就医陪诊、疾病查询、体检、健康知识等服务
wxd86906df6b0a5844,118114聪明生活,Mini Program,,,中国电信江苏公司打造的整合优质生活权益、5G通信助理、电信积分商城、iTV电视、观影娱乐等优秀资源，为用户提供品质生活服务的平台。
wxaeb053bf99c5eec7,121法律助手,Mini Program,,,原“不二法律助手”，支持诉讼费、保全费、律师费、违约金、逾期利息、LPR利息、民间借贷利息、迟延履行利息、交通事故人身损害赔偿、工伤赔偿、经济补偿金、年休假、民事案由、日期、小额诉讼案件限额等计算以及计算结果下载保存功能。
wx724929bb039cd4a7,12366智能咨询,Mini Program,,,及时解答纳税人咨询涉税问题
wx4f494822332c0d63,12580惠生活,Mini Program,,,12580惠生活是中国移动打造的整合购物、餐饮、休闲娱乐等优秀商家资源，通过多渠道为移动用户提供优质优惠券的生活服务平台。
wxc84e944084febec3,1366出行,Mini Program,,,北京省际客运出行综合服务平台是为公众提供省际客运出行的行业服务性平台
wx8d4d2ced5a4edaa7,1376饮品,Mini Program,,,一家有温度的奶茶店
wx42ac3fb68921042a,1905电影网,Mini Program,,,从电影出发，从国产经典到最新好片，从电影日历到圈内热点，带给你绝不无聊的电影+生活。
wx71e8bf38da0ef048,1元地铁电竞护航,Mini Program,,,"1元体验14天传世武器/任选传世武器/每天点单最多板板赠送一把蝴蝶刀/百名战神打手服务堪：9100电竞，冰刃俱乐部,KEG电竞，AK电竞冰吻电竞，九方电竞，少羽SY电竞，7S电竞，9277俱乐部，老亩电竞，受着俱乐部，MQ电竞，CX超袖电竞"
wxa090add7f8c97f94,1药网网上药店,Mini Program,,,买正品药，买放心药
wxff51f04cab8ad45a,213集市直播,Mini Program,,,213集市直播小程序
wxb1abf1b1fe25f8c6,21世纪教育网,Mini Program,,,中小学课件、教案、试卷、学案、公开课、备课资源下载，二一教育旗下21世纪教育网小程序
wx121b928e67c36278,233基金从业题库,Mini Program,,,233网校基金从业题库包含：基金从业历年真题、基金章节题、基金模拟题、基金每日一练、基金从业真题估分、考点速记、答题PK。
wxaead909e40c1dc80,233网校社工考试题库,Mini Program,,,233网校社会工作者题库包含：社会工作者历年真题、社会工作者章节题、社会工作者模拟题、社会工作者每日一练、社工真题估分。
wxc6805194c03bf4f8,233网校证券从业题库,Mini Program,,,233网校证券考试题库包含：证券历年真题、证券章节题、证券模拟题、证券从业每日一练、证券真题估分、证券考点速记、答题PK。
wx9d58f7af796b898c,233网校课程,Mini Program,,,233网校课程小程序内含免费课程、备考辅导、报考指导等，用户在233网校课程小程序进行报考及备考辅导，免费观看精品考试课程。
wxecabaaa63e375853,233网校金融类题库,Mini Program,,,提供证券从业考试题库、基金从业刷题库、银行从业考试题库、期货从业考试题库。包含每日一练、历年真题、模拟题、考试真题、章节题试卷。
wx574012c5b44479e4,233网校银行从业考试题库,Mini Program,,,233网校银行从业题库包含：银行从业历年真题、银行从业章节题、银行从业模拟题、银从每日一练、真题估分、考点速记、答题PK。
wx8806eaa0c1585af8,2345天气王,Mini Program,,,权威预报未来15日天气。为1.4亿用户服务！支持96小时天气预报；未来40日天气；两小时内降雨变化；从容应对各类突发天气！
wxd04123ff2516b26a,24H信购物,Mini Program,,,用于自动零售行业用户开通信息授权
wx99c6233d715d6c63,24h智慧购物,Mini Program,,,24h智慧购专注智能售货柜，为广大消费者提供便捷的服务。
wx5b20bf069884fc6e,25天搞定数学条充,Mini Program,,,海绵爆款升级！每日3-6题，配套解析+陷阱分析+原题改编重练，25天速通条充~
wx1d7094bcea1fe01c,2号学习,Mini Program,,,2号学习，免费好用的企业学习工具。支持线上学习、线下培训、考试练习、问卷调查等功能，满足企业内训的各类场景。
wx59df564dfcfb34e7,2楼美食特色小吃顺兄,Mini Program,,,厂区内部配送及到店自取
wxe93aa48ab59da278,361度儿童会员官方商城,Mini Program,,,361度儿童会员官方商城
wx7451b89149ec566d,365音乐相册,Mini Program,,,365音乐相册是专注家庭影像留存的线上影像工具，聚焦日常生活美好瞬间记录，可记录宝宝成长、珍藏岁月回忆，为用户打造便捷易用的线上电子相册制作平台。平台拥有各类精美音乐相册模版，搭配怀旧经典曲库，一键制作动态影集，定格一年四季温暖日常。
wxdc48b50d880ec365,369民宿,Mini Program,,,专注构建中国民宿服务生态，为广大出行者提供“风貌与人文，乡愁与品质”的新型经济住宿体验。
wx7834684453916c70,3M商业品牌与交通,Mini Program,,,3M为您展现优良的品牌形象，助您成功传递品牌价值。
wxfb1c0bd6179a8b50,500px摄影圈,Mini Program,,,视觉中国500px摄影社区官方小程序，专业知识问答让你更加了解500px与摄影，更多全新体验让光影的魅力触手可及，一切未完待续。
wx28b4431e179f120b,51心理学,Mini Program,,,精选600颗心理胶囊，内容简洁实用，覆盖家庭教育、儿童、销售等8大心理学领域。旨在帮助你轻松面对生活挑战，提高幸福和工作效率。
wx9b58b7b22e1475fb,51驾驶员 挖机铲车司机找活招聘,Mini Program,,,挖机、铲车、装载机、吊车、推土机、压路机、旋挖、打桩机、自卸、挂车、塔吊、泵车、卡车等司机驾驶员招聘求职，服务司机帮驾驶员司机轻松找活的平台
wx18f34583e2720a15,58HOME电商平台,Mini Program,,,为多伦多地产投资人社区提供家居产品服务
wxc97b21c63d084d92,58同城丨招聘兼职家政租房二手车,Mini Program,,,租房买房新房二手房；找工作、兼职全职、招聘；找工人、服务员、快递员；装修维修搬家、家政保洁开锁、保姆月嫂；新车二手车交易网。
wxf6023d0d45e373e5,58同城影视直播高薪招聘,Mini Program,,,58同城影视直播高薪招聘提供主播招聘、直播运营招聘、直播助理招聘、带货主播招聘、探店主播招聘、直播场控招聘、直播策划推广、直播客服招聘、摄影师招聘、配音师招聘、视频剪辑师招聘、化妆师招聘、短剧演员招聘等海量影视直播高薪急招岗位。
wxa9a9dec97e6ee639,58同城招聘丨招聘求职找工作,Mini Program,,,58同城招聘，有企业招聘和找工作服务。拥有4亿人才库，千万级在招职位，热招普工、服务员、保安、商务司机、包装工、文员、安检员等，超多附近职位；
