appid,doc_id,name,description,icon_url,username,developer,app_version,source_query,verified_at
wx82ab33c36c2f45dd,3965501362,0377招聘网,0377招聘网丨覆盖唐河招聘、社旗招聘、内乡招聘、镇平招聘、淅川招聘、新野招聘、方城招聘、邓州招聘、唐河找工作、社旗找工作、内乡找工作、镇平找工作、淅川找工作、新野找工作、方城找工作、邓州找工作的高效招人才平台,http://mmbiz.qpic.cn/mmbiz_png/R27Y8k0uW3LWX3k0CK4uULiarEaRPTUua4Kzsf4GynHG05JZHKWBfqlF4WFVkDBuDicLFjFdnibxicLiaFsWLUWFIVmP91Tmz4LveiaQ4alkESW3I/640?wx_fmt=png&wxfrom=200,gh_33221f616fd7@app,唐河亿唐网络信息技术有限公司,23,招聘,2026-09-04T11:29:20+00:00
wxd943c59825947cbe,3976975173,0379招个才丨求职招聘找工作,专注于为洛阳地区提供招聘服务的细分型平台，为您提供更加精准、贴心的求职招聘解决方案。,http://mmbiz.qpic.cn/mmbiz_png/3csjNdFuKyVwvpUShMogia6QBe19S51w8ESHK5sEiaJmnHwD1LhbPQe7PzsmLrb5lS1rlQvPmrs7MF60eNTLF35w/640?wx_fmt=png&wxfrom=200,gh_50e7cfc0f0a1@app,洛阳招个才人力资源有限公司,47,求职,2026-09-04T11:29:30+00:00
wxf2ddf381fd7da35b,3325101475,0元地铁护航电竞,0元地铁护航电竞三角洲护航0元地铁护航电竞三角洲护航0元地铁护航电竞三角洲护航0元地铁护航电竞三角洲护航0元地铁护航电竞三角洲护航0元地铁护航电竞三角洲护航0元地铁护航电竞三角洲护航0元地铁护航电竞三角洲护航0元地铁护航电竞三角洲护航,http://mmbiz.qpic.cn/sz_mmbiz_png/a7GcY8bxD9ab8QQjjo0ueHcjV1ZX2CCl8Oow9mE8cEQ7C1sE2iapKvlhJMay6cNs3qia5ibibwFXVpzjAd6NxHL7yu4WfunmwZtQLOo2n3WCXvk/640?wx_fmt=png&wxfrom=200,gh_9aa482197ca4@app,抚州市东乡区李细根爱心超市,1,地铁,2026-09-04T11:17:34+00:00
wx0bc0c937087d206b,3711159746,100以内数学题卡日日练,100以内加减法题卡训练，适合幼小衔接阶段,http://mmbiz.qpic.cn/sz_mmbiz_png/Bf9uUpX47CQAm1sdMNovGKfCEzesVUjmiaU2Dtrf0br36C6dj1TapNWSzkr4g5C4gBLzwupfQRYGv2ZpMmLGFC4cCKawtxx0bkibJxGRVPNzc/640?wx_fmt=png&wxfrom=200,gh_b50744312713@app,个人开发者,1,数学,2026-09-04T11:22:29+00:00
wx6bc378397ff99465,3801505458,101校园点餐,北京101中学校园点餐小程序,http://mmbiz.qpic.cn/mmbiz_png/1VMoicl4CDKVUUpj2OiajWRKvj5S6FeYwmwiaGPhibsiaicsrQV6JfFyDJian9icq3ScJ2aricYUPJXic0XibicDBzficCZl8mw/640?wx_fmt=png&wxfrom=200,gh_4860a23c11d7@app,北京市第一〇一中学,85,学校,2026-09-04T11:21:28+00:00
wx7319641e907cbb71,3841654212,114挂号 医查查就医服务,114挂号 就医服务平台，提供全国预约挂号、北京114挂号、四川114挂号、北京114预约挂号、就医陪诊、疾病查询、体检、健康知识等服务，基于AI智能交互，覆盖北京上海广州深圳重庆成都等全国城市。,http://mmbiz.qpic.cn/sz_mmbiz_png/piaDaKIWYXhB2iakMj2AeAxFhkz9yXfPgQicJy8icYI0q6k2ErHDMuuibFAhGScWcKicrh4b1ggq4NMa80jwR5AkN1IAboDUQP3qIIvJOfvibjbI38/640?wx_fmt=png&wxfrom=200,gh_610f1ca91196@app,号百信息科技(四川)有限公司,245,挂号,2026-09-04T11:24:20+00:00
wxc7822517eb025828,3712213146,114挂号 号百就医服务,114挂号就医服务平台 提供北京、成都等全国多地300家医院预约挂号服务，包括华西、协和、积水潭，北大六院、北大一院、北京安定医院、301军总等重点三甲医院，四川、北京统一预约挂号平台提供预约挂号、就医陪诊、疾病查询、体检、健康知识等服务,http://mmbiz.qpic.cn/sz_mmbiz_png/XUpsRXcviaEsrAN0SEsiaV88UFwDFib6QHv6RdCAy2nVukLhv3Vyl9uIhwaW5HjpzCnujIUyEsqZ0v6ibABS128YoRa7MibHRiaYMAfsCiaczoWSBw/640?wx_fmt=png&wxfrom=200,gh_a16606b43161@app,号百信息科技(四川)有限公司,45,挂号,2026-09-04T11:24:20+00:00
wxd86906df6b0a5844,3802620279,118114聪明生活,中国电信江苏公司打造的整合优质生活权益、5G通信助理、电信积分商城、iTV电视、观影娱乐等优秀资源，为用户提供品质生活服务的平台。,http://mmbiz.qpic.cn/sz_mmbiz_png/yfvvTFStwwA536icap3nPpVjfjqZTZcwJ9dJTBpicjs2Lx0HHpXtcJMYicmJq3XADOWB5ZiaB4QUWAXonrYPibbeBKw/640?wx_fmt=png&wxfrom=200,gh_8b4414166c73@app,江苏号百科技有限公司,247,生活,2026-09-04T11:06:26+00:00
wxaeb053bf99c5eec7,3810129187,121法律助手,原“不二法律助手”，支持诉讼费、保全费、律师费、违约金、逾期利息、LPR利息、民间借贷利息、迟延履行利息、交通事故人身损害赔偿、工伤赔偿、经济补偿金、年休假、民事案由、日期、小额诉讼案件限额等计算以及计算结果下载保存功能。,http://mmbiz.qpic.cn/mmbiz_png/icvgWhia5BOHhtVa1s35WssbO40oRLWBnd7IVj2H9mW95XjNluCDunf5BF6sq5Sh25dtzky5KJO8oiacd9pDsNqVw/640?wx_fmt=png&wxfrom=200,gh_c053df359b20@app,东莞一贰一科技有限公司,92,法律,2026-09-04T11:28:27+00:00
wx724929bb039cd4a7,3853085370,12366智能咨询,及时解答纳税人咨询涉税问题,http://mmbiz.qpic.cn/mmbiz_png/hDEdsK9AiaQUT9jmuYypmdFhmruEsaaVAjwWFtoMHF9wwu5CfiaN1l3Y2VcTPrtQLibibP8FiaXy07PcbOI4bp74fjQ/640?wx_fmt=png&wxfrom=200,gh_5ad273b7b544@app,国家税务总局新闻宣传办公室,7,税务,2026-09-04T11:28:18+00:00
wx4f494822332c0d63,3848084394,12580惠生活,12580惠生活是中国移动打造的整合购物、餐饮、休闲娱乐等优秀商家资源，通过多渠道为移动用户提供优质优惠券的生活服务平台。,http://mmbiz.qpic.cn/mmbiz_png/3SA1YoM2KD5MCmlj5PwVicicreS0xvSbrQV84St0B2hicnj4qgia83B1qMYqqXHgYia1dK2vIJUA480ULqsrQjgVDDw/640?wx_fmt=png&wxfrom=200,gh_cdac56628e3e@app,中国移动通信集团江苏有限公司,269,生活,2026-09-04T11:06:34+00:00
wxc84e944084febec3,3839869667,1366出行,北京省际客运出行综合服务平台是为公众提供省际客运出行的行业服务性平台,http://mmbiz.qpic.cn/mmbiz_png/5jryBPuicJ1uaicxrLvibxwXWbpIx42yUGlBu1H8Xic59PSPNIicoNwSzdMNnP3icVCafLOk3A78odoUEFHibByyhEoeg/640?wx_fmt=png&wxfrom=200,gh_9e4fe30c7f90@app,北京海博票务服务有限公司,42,出行,2026-09-04T11:16:47+00:00
wx8d4d2ced5a4edaa7,3613320890,1376饮品,一家有温度的奶茶店,http://mmbiz.qpic.cn/sz_mmbiz_png/R2brqm0Mc7KgHTmQhY8D38s5oZkAs2r8lY590cOowYNYVwiaesUIE6tK0Z7JGz0Acq9zmd2Duuq82nDuIEwI2AA/640?wx_fmt=png&wxfrom=200,gh_0a15fb34796b@app,陕西岗拉梅朵餐饮管理有限公司,3,饮品,2026-09-04T11:15:01+00:00
wx42ac3fb68921042a,3508020353,1905电影网,从电影出发，从国产经典到最新好片，从电影日历到圈内热点，带给你绝不无聊的电影+生活。,http://mmbiz.qpic.cn/sz_mmbiz_png/aP45IvTtyqKZwV4ichSvWXuNdoouHibI74WE4bTcgrMpiaXKib3PMApeGPRibT8G5GzgtlC5gLd0NgHsh8jhb8cdAwg/640?wx_fmt=png&wxfrom=200,gh_e4bd3cb7ea64@app,一九零五(北京)网络科技有限公司,25,电影,2026-09-04T11:20:28+00:00
